id_transaccion;timestamp;moneda_origen;moneda_destino;monto;cuenta_origen;cuenta_destino;tipo
171;1829328004;BTC;;30000;userI;;alta_cuenta
172;1829760004;USDT;BTC;80.80;userJ;userK;transferencia
173;1830192004;ETH;USDT;0.7;userL;;swap
174;1830624004;USDT;;25000;userM;;alta_cuenta
175;1831056004;BTC;ETH;0.09;userN;userO;transferencia
176;1831488004;USDT;BTC;200.20;userP;;swap
177;1831920004;ETH;;95000;userQ;;alta_cuenta
178;1832352004;USDT;ETH;150.15;userR;userS;transferencia
179;1832784004;BTC;USDT;0.12;userT;;swap
180;1833216004;BTC;;60000;userA;;alta_cuenta
181;1833648004;ETH;USDT;2.5;userB;userC;transferencia
182;1834080004;USDT;BTC;50.50;userD;;swap
183;1834512004;ETH;;75000;userE;;alta_cuenta
184;1834944004;BTC;ETH;0.1;userF;userG;transferencia
185;1835376004;USDT;USDT;300.30;userH;;swap
186;1835808004;USDT;;40000;userI;;alta_cuenta
187;1836240004;ETH;BTC;1.8;userJ;userK;transferencia
188;1836672004;BTC;ETH;0.07;userL;;swap
189;1837104004;USDT;;12000;userM;;alta_cuenta
190;1837536004;USDT;ETH;70.70;userN;userO;transferencia
191;1837968004;ETH;USDT;0.6;userP;;swap
192;1838400004;BTC;;80000;userQ;;alta_cuenta
193;1838832004;USDT;BTC;120.20;userR;userS;transferencia
194;1839264004;ETH;BTC;0.5;userT;;swap
195;1839696004;USDT;;55000;userA;;alta_cuenta
196;1840128004;BTC;USDT;0.15;userB;userC;transferencia
197;1840560004;ETH;USDT;1.0;userD;;swap
198;1840992004;BTC;;90000;userE;;alta_cuenta
199;1841424004;USDT;ETH;45.45;userF;userG;transferencia
200;1841856004;USDT;USDT;1000.00;userH;userI;transferencia
